1.275 & 0.025 & 0.796846376179404 & 0.015625 & 1.17715 & 0.10622  
1.275 & 0.025 & 0.765595506067851 & 0.015625 & 1.19906 & 0.09489  
1.275 & 0.025 & 0.734322509435686 & 0.015625 & 0.99729 & 0.07436  
1.275 & 0.025 & 0.703146544139477 & 0.015625 & 0.95480 & 0.06917  
1.275 & 0.025 & 0.671849873884635 & 0.015625 & 0.90795 & 0.06495  
1.275 & 0.025 & 0.640645906533562 & 0.015625 & 0.79603 & 0.05699  
1.275 & 0.025 & 0.609315145729058 & 0.015625 & 0.83430 & 0.05942  
1.275 & 0.025 & 0.578142474934545 & 0.015625 & 0.78008 & 0.05541  
1.275 & 0.025 & 0.546832800471972 & 0.015625 & 0.70094 & 0.05007  
1.275 & 0.025 & 0.515636365015301 & 0.015625 & 0.67303 & 0.04869  
1.275 & 0.025 & 0.484351604002836 & 0.015625 & 0.67389 & 0.04935  
1.325 & 0.025 & 0.796846376179404 & 0.015625 & 1.15936 & 0.10483
1.325 & 0.025 & 0.765595506067851 & 0.015625 & 1.36229 & 0.10657  
1.325 & 0.025 & 0.734322509435686 & 0.015625 & 1.11529 & 0.08287  
1.325 & 0.025 & 0.703146544139477 & 0.015625 & 1.05633 & 0.07671  
1.325 & 0.025 & 0.671849873884635 & 0.015625 & 0.86702 & 0.06252  
1.325 & 0.025 & 0.640645906533562 & 0.015625 & 0.74308 & 0.05354  
1.325 & 0.025 & 0.609315145729058 & 0.015625 & 0.76723 & 0.05512  
1.325 & 0.025 & 0.578142474934545 & 0.015625 & 0.73871 & 0.05305  
1.325 & 0.025 & 0.546832800471972 & 0.015625 & 0.59860 & 0.04340  
1.325 & 0.025 & 0.515636365015301 & 0.015625 & 0.58863 & 0.04302  
1.325 & 0.025 & 0.484351604002836 & 0.015625 & 0.52270 & 0.03920
