PR094  Photo-prod          07/09 Arndt  06/19/14
 112   5.46832807E-01  0.22221         0.0181        
 113   5.15636372E-01  0.15443         0.0132        
 114   4.84351611E-01  0.11657         0.01056       
 115   4.53057199E-01  0.09491         0.00916       
 116   4.21827206E-01  0.09202         0.00947       
 117   3.90570472E-01  0.00109         0.01122       
! 1725.000  15  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 118   7.96846379E-01  1.01814         0.09483       
 119   7.6559551E-01   1.06904         0.08898       
 120   7.34322513E-01  0.74322         0.06018       
 121   7.03146548E-01  0.69721         0.05489       
 122   6.71849879E-01  0.55864         0.04387       
 123   6.40645912E-01  0.41894         0.03295       
 124   6.09315151E-01  0.31253         0.02475       
 125   5.78142481E-01  0.23882         0.01927       
 126   5.46832807E-01  0.1745          0.01446       
 127   5.15636372E-01  0.11683         0.01028       
 128   4.84351611E-01  0.08091         0.00765       
 129   4.53057199E-01  0.07669         0.00755       
 130   4.21827206E-01  0.06864         0.00712       
 131   3.90570472E-01  0.08276         0.00872       
 132   3.59345405E-01  0.09112         0.00991       
! 1775.000  15  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 133   7.96846379E-01  1.24979         0.1112        
 134   7.6559551E-01   1.129           0.09202       
 135   7.34322513E-01  0.90115         0.07101       
 136   7.03146548E-01  0.73823         0.05738       
 137   6.71849879E-01  0.59156         0.04598       
 138   6.40645912E-01  0.47424         0.03668       
 139   6.09315151E-01  0.37125         0.0289        
 140   5.78142481E-01  0.2603          0.02059       
 141   5.46832807E-01  0.19427         0.0157        
 142   5.15636372E-01  0.14121         0.01184       
 143   4.84351611E-01  0.10374         0.00914       
 144   4.53057199E-01  0.08571         0.00788       
 145   4.21827206E-01  0.09346         0.00875       
 146   3.90570472E-01  0.09727         0.00936       
 147   3.59345405E-01  0.11059         0.01097       
! 1825.000  15  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 148   7.96846379E-01  1.0822          0.09562       
 149   7.6559551E-01   0.94572         0.0779        
 150   7.34322513E-01  0.8194          0.06476       
 151   7.03146548E-01  0.72832         0.05695       
 152   6.71849879E-01  0.58053         0.04523       
 153   6.40645912E-01  0.48134         0.03725       
 154   6.09315151E-01  0.3432          0.02682       
 155   5.78142481E-01  0.26252         0.02079       
 156   5.46832807E-01  0.20082         0.01623       
 157   5.15636372E-01  0.14348         0.01199       
 158   4.84351611E-01  0.12004         0.01028       
 159   4.53057199E-01  0.10506         0.00923       
 160   4.21827206E-01  0.10138         0.00909       
 161   3.90570472E-01  0.10766         0.00994       
 162   3.59345405E-01  0.10668         0.01037       
! 1875.000  16  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 163   7.96846379E-01  1.22832         0.11562       
 164   7.6559551E-01   1.10636         0.09426       
 165   7.34322513E-01  0.84252         0.06882       
 166   7.03146548E-01  0.7045          0.05726       
 167   6.71849879E-01  0.56959         0.04587       
 168   6.40645912E-01  0.44107         0.03535       
 169   6.09315151E-01  0.34194         0.02751       
 170   5.78142481E-01  0.30746         0.0249        
 171   5.46832807E-01  0.21477         0.01786       
 172   5.15636372E-01  0.17976         0.01525       
 173   4.84351611E-01  0.13713         0.012         
 174   4.53057199E-01  0.11838         0.01061       
 175   4.21827206E-01  0.11459         0.01053       
 176   3.90570472E-01  0.11782         0.01106       
 177   3.59345405E-01  0.13072         0.01275       
 178   3.28042407E-01  0.15207         0.01535       
! 1925.000  16  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 179   7.96846379E-01  1.08479         0.09763       
 180   7.6559551E-01   0.88565         0.07494       
 181   7.34322513E-01  0.7435          0.06064       
 182   7.03146548E-01  0.64919         0.05208       
 183   6.71849879E-01  0.52304         0.04204       
 184   6.40645912E-01  0.41828         0.03327       
 185   6.09315151E-01  0.32551         0.02597       
 186   5.78142481E-01  0.26657         0.02151       
 187   5.46832807E-01  0.19828         0.01633       
 188   5.15636372E-01  0.15956         0.01336       
 189   4.84351611E-01  0.13616         0.01152       
 190   4.53057199E-01  0.12062         0.01041       
 191   4.21827206E-01  0.11905         0.01036       
 192   3.90570472E-01  0.11006         0.00994       
 193   3.59345405E-01  0.12794         0.01185       
 194   3.28042407E-01  0.11382         0.01109       
! 1975.000  16  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 195   7.96846379E-01  1.05783         0.09858       
 196   7.6559551E-01   1.04006         0.08897       
 197   7.34322513E-01  0.95321         0.07806       
 198   7.03146548E-01  0.82533         0.06717       
 199   6.71849879E-01  0.60046         0.04877       
 200   6.40645912E-01  0.46824         0.03774       
 201   6.09315151E-01  0.39186         0.03155       
 202   5.78142481E-01  0.32361         0.02628       
 203   5.46832807E-01  0.23221         0.01932       
 204   5.15636372E-01  0.19452         0.0164        
 205   4.84351611E-01  0.18326         0.01549       
 206   4.53057199E-01  0.17912         0.01513       
 207   4.21827206E-01  0.14756         0.0129        
 208   3.90570472E-01  0.16066         0.01406       
 209   3.59345405E-01  0.15406         0.01414       
 210   3.28207277E-01  0.17302         0.01625       
! 2025.000  16  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 211   7.96846379E-01  0.9509          0.08871       
 212   7.6559551E-01   0.87423         0.07604       
 213   7.34322513E-01  0.66612         0.05614       
 214   7.03146548E-01  0.59365         0.04896       
 215   6.71849879E-01  0.45384         0.03726       
 216   6.40645912E-01  0.38491         0.03128       
 217   6.09315151E-01  0.32865         0.02672       
 218   5.78142481E-01  0.22036         0.01837       
 219   5.46832807E-01  0.17293         0.01466       
 220   5.15636372E-01  0.15662         0.01333       
 221   4.84351611E-01  0.15003         0.01281       
 222   4.53057199E-01  0.13452         0.01145       
 223   4.21827206E-01  0.13822         0.01186       
 224   3.90570472E-01  0.12319         0.01095       
 225   3.59345405E-01  0.14133         0.01261       
 226   3.28042407E-01  0.12633         0.01197       
! 2075.000  17  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 227   7.96846379E-01  0.82481         0.0784        
 228   7.6559551E-01   0.66488         0.05976       
 229   7.34322513E-01  0.59006         0.05041       
 230   7.03146548E-01  0.49111         0.04179       
 231   6.71849879E-01  0.40548         0.0338        
 232   6.40645912E-01  0.34524         0.02848       
 233   6.09315151E-01  0.2939          0.02415       
 234   5.78142481E-01  0.21958         0.01834       
 235   5.46832807E-01  0.18272         0.01536       
 236   5.15636372E-01  0.15489         0.01317       
 237   4.84351611E-01  0.14817         0.01253       
 238   4.53057199E-01  0.14778         0.01249       
 239   4.21827206E-01  0.13531         0.0116        
 240   3.90570472E-01  0.1382          0.01199       
