1.675 0.390 0.00109 
1.675 0.390 0.109418 
############################### 
 
4.275 0.359 0.03913
4.275 0.359 0.00391292 
############################### 
 
4.275 0.328 0.01015 
4.275 0.328 0.00101513 
############################### 

5.175 0.515 0.09900 
5.175 0.515 0.00989978 
############################### 

5.375 0.484 0.00997 
5.375 0.484 0.000997105 
############################### 
 
5.375 0.453 0.00987 
5.375 0.453 0.000986691 
############################### 
 
5.375 0.328 0.00569 
5.375 0.328 0.000569499 
############################### 
 
