 1325.000  11  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
 1825.000  15  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.08220  0.09562  40.04 0.94572  0.07790  42.75 0.81940  0.06476
  45.32 0.72832  0.05695  47.79 0.58053  0.04523  50.16 0.48134  0.03725
  52.46 0.34320  0.02682  54.68 0.26252  0.02079  56.85 0.20082  0.01623
  58.96 0.14348  0.01199  61.03 0.12004  0.01028  63.06 0.10506  0.00923
  65.05 0.10138  0.00909  67.01 0.10766  0.00994  68.94 0.10668  0.01037
 1875.000  16  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.22832  0.11562  40.04 1.10636  0.09426  42.75 0.84252  0.06882
  45.32 0.70450  0.05726  47.79 0.56959  0.04587  50.16 0.44107  0.03535
  52.46 0.34194  0.02751  54.68 0.30746  0.02490  56.85 0.21477  0.01786
  58.96 0.17976  0.01525  61.03 0.13713  0.01200  63.06 0.11838  0.01061
  65.05 0.11459  0.01053  67.01 0.11782  0.01106  68.94 0.13072  0.01275
  70.85 0.15207  0.01535   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 1925.000  16  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.08479  0.09763  40.04 0.88565  0.07494  42.75 0.74350  0.06064
  45.32 0.64919  0.05208  47.79 0.52304  0.04204  50.16 0.41828  0.03327
  52.46 0.32551  0.02597  54.68 0.26657  0.02151  56.85 0.19828  0.01633
  58.96 0.15956  0.01336  61.03 0.13616  0.01152  63.06 0.12062  0.01041
  65.05 0.11905  0.01036  67.01 0.11006  0.00994  68.94 0.12794  0.01185
  70.85 0.11382  0.01109   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 1975.000  16  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 1.05783  0.09858  40.04 1.04006  0.08897  42.75 0.95321  0.07806
  45.32 0.82533  0.06717  47.79 0.60046  0.04877  50.16 0.46824  0.03774
  52.46 0.39186  0.03155  54.68 0.32361  0.02628  56.85 0.23221  0.01932
  58.96 0.19452  0.01640  61.03 0.18326  0.01549  63.06 0.17912  0.01513
  65.05 0.14756  0.01290  67.01 0.16066  0.01406  68.94 0.15406  0.01414
  70.84 0.17302  0.01625   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 2025.000  16  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 0.95090  0.08871  40.04 0.87423  0.07604  42.75 0.66612  0.05614
  45.32 0.59365  0.04896  47.79 0.45384  0.03726  50.16 0.38491  0.03128
  52.46 0.32865  0.02672  54.68 0.22036  0.01837  56.85 0.17293  0.01466
  58.96 0.15662  0.01333  61.03 0.15003  0.01281  63.06 0.13452  0.01145
  65.05 0.13822  0.01186  67.01 0.12319  0.01095  68.94 0.14133  0.01261
  70.85 0.12633  0.01197   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 2075.000  17  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 0.82481  0.07840  40.04 0.66488  0.05976  42.75 0.59006  0.05041
  45.32 0.49111  0.04179  47.79 0.40548  0.03380  50.16 0.34524  0.02848
  52.46 0.29390  0.02415  54.68 0.21958  0.01834  56.85 0.18272  0.01536
  58.96 0.15489  0.01317  61.03 0.14817  0.01253  63.06 0.14778  0.01249
  65.05 0.13531  0.01160  67.01 0.13820  0.01199  68.94 0.13607  0.01207
  70.85 0.12844  0.01188  72.73 0.12819  0.01246   0.00 0.00000  0.00000
 2125.000  17  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 0.98875  0.09685  40.04 0.75834  0.06850  42.75 0.69136  0.06010
  45.32 0.59944  0.05153  47.79 0.49267  0.04158  50.16 0.40818  0.03427
  52.46 0.33554  0.02808  54.68 0.25623  0.02183  56.85 0.24958  0.02107
  58.96 0.19836  0.01696  61.03 0.19051  0.01628  63.06 0.17506  0.01502
  65.05 0.18384  0.01570  67.01 0.17442  0.01514  68.94 0.15705  0.01408
  70.84 0.14792  0.01391  72.73 0.13154  0.01328   0.00 0.00000  0.00000
 2175.000  17  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 0.77172  0.07715  40.04 0.59290  0.05447  42.75 0.47914  0.04257
  45.32 0.40905  0.03586  47.79 0.36432  0.03106  50.16 0.31312  0.02642
  52.46 0.25793  0.02186  54.68 0.19033  0.01638  56.85 0.16499  0.01429
  58.96 0.18547  0.01566  61.03 0.16521  0.01402  63.06 0.16587  0.01396
  65.05 0.14778  0.01255  67.01 0.14077  0.01212  68.94 0.12481  0.01114
  70.85 0.10761  0.01017  72.73 0.12433  0.01203   0.00 0.00000  0.00000
 2225.000  18  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 0.62997  0.06370  40.04 0.59452  0.05454  42.75 0.43364  0.03913
  45.32 0.35145  0.03127  47.79 0.31648  0.02749  50.16 0.28559  0.02429
  52.46 0.23659  0.02018  54.68 0.17934  0.01556  56.85 0.16937  0.01462
  58.96 0.16760  0.01433  61.03 0.16964  0.01430  63.06 0.17245  0.01448
  65.05 0.14534  0.01235  67.01 0.15309  0.01302  68.94 0.13325  0.01166
  70.85 0.11385  0.01038  72.73 0.11629  0.01114  74.60 0.10953  0.01118
 2275.000  18  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 0.66810  0.07066  40.04 0.57459  0.05572  42.75 0.45822  0.04316
  45.32 0.36657  0.03425  47.79 0.33333  0.02995  50.16 0.29366  0.02592
